City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Souillac,MU,-20.5167,57.5167,73.78,94,40,5.75,light rain
1,Tasiilaq,GL,65.6145,-37.6368,32.16,97,100,24.18,snow
2,Sinnamary,GF,5.3833,-52.95,80.94,89,100,12.8,light rain
3,Georgetown,MY,5.4112,100.3354,82.33,89,20,2.3,few clouds
4,Port Alfred,ZA,-33.5906,26.891,62.19,90,23,11.43,few clouds
5,Hamilton,US,39.1834,-84.5333,85.21,51,0,3.44,clear sky
6,Soacha,CO,4.5794,-74.2168,67.89,52,40,10.36,scattered clouds
7,Viedma,AR,-40.8135,-62.9967,55.6,67,100,23.22,overcast clouds
8,Torbay,CA,47.6666,-52.7314,40.26,81,75,17.27,broken clouds
9,Qaanaaq,GL,77.484,-69.3632,26.47,57,100,3.11,overcast clouds
10,Saldanha,ZA,-33.0117,17.9442,60.85,70,0,11.52,clear sky
11,Longyearbyen,SJ,78.2186,15.6401,30.04,69,75,3.44,broken clouds
12,Garowe,SO,8.4054,48.4845,84.9,45,41,22.79,scattered clouds
13,Touros,BR,-5.1989,-35.4608,84.09,68,100,11.81,overcast clouds
14,Jumla,NP,29.2747,82.1838,55.11,76,37,3.96,scattered clouds
15,Berlin,DE,52.5244,13.4105,70.23,45,0,8.01,clear sky
16,Huallanca,PE,-9.8993,-76.9417,60.01,46,54,7.78,broken clouds
17,Bredasdorp,ZA,-34.5322,20.0403,56.7,92,0,5.03,clear sky
18,Orange Walk,BZ,17.8333,-88.8333,96.78,31,12,3.49,few clouds
19,Nara,JP,34.6851,135.8049,59.5,55,100,1.66,overcast clouds
20,Busselton,AU,-33.65,115.3333,52.84,81,74,6.13,broken clouds
21,Port Elizabeth,ZA,-33.918,25.5701,66.49,87,0,9.22,clear sky
22,Cape Town,ZA,-33.9258,18.4232,63.12,77,0,5.75,clear sky
23,Clocolan,ZA,-28.9137,27.5656,53.01,35,0,3.69,clear sky
24,Kanye,BW,-24.9667,25.3327,62.98,35,18,5.41,few clouds
25,Ushuaia,AR,-54.8,-68.3,46.06,66,20,3.44,few clouds
26,Saint-Philippe,RE,-21.3585,55.7679,71.19,81,36,10.98,scattered clouds
27,Victoria,HK,22.2855,114.1577,71.38,88,100,15.01,overcast clouds
28,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,93,100,12.66,overcast clouds
29,Panama City,PA,8.9936,-79.5197,89.38,69,40,8.05,scattered clouds
30,Bandarbeyla,SO,9.4942,50.8122,82.62,83,10,25.01,clear sky
31,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,69,75,12.66,light rain
32,Vila Do Maio,CV,15.1333,-23.2167,88.59,86,75,16.17,broken clouds
33,Hooksett,US,43.0967,-71.4651,79.32,63,75,9.22,broken clouds
34,Tabuk,PH,17.4189,121.4443,76.98,88,100,0.31,overcast clouds
35,Daura,NG,11.5538,11.4085,96.33,10,32,5.28,scattered clouds
36,Ornskoldsvik,SE,63.2909,18.7153,50.95,46,40,23.02,scattered clouds
37,Marsaxlokk,MT,35.8419,14.5431,73.08,46,0,10.36,clear sky
38,Belyy Yar,RU,53.6039,91.3903,67.89,28,0,4.47,clear sky
39,Hermanus,ZA,-34.4187,19.2345,61.81,72,0,9.84,clear sky
40,Nicoya,CR,10.1483,-85.452,91.04,52,64,3.94,broken clouds
41,Sur,OM,22.5667,59.5289,84.67,59,0,10.16,clear sky
42,Livramento,BR,-3.0254,-60.1803,81.27,100,75,5.75,broken clouds
43,Carutapera,BR,-1.195,-46.02,84.52,72,96,10.0,overcast clouds
44,Eldorado,BR,-23.7869,-54.2836,63.72,92,100,4.41,overcast clouds
45,Quelimane,MZ,-17.8786,36.8883,71.55,78,20,2.3,few clouds
46,Laguna,US,38.421,-121.4238,84.49,49,0,6.91,clear sky
47,Pangnirtung,CA,66.1451,-65.7125,21.2,86,20,11.5,few clouds
48,Mar Del Plata,AR,-38.0023,-57.5575,55.42,87,75,18.41,broken clouds
49,Banda Aceh,ID,5.5577,95.3222,81.75,82,63,12.71,broken clouds
50,San Pedro,PH,14.35,121.0167,79.83,90,75,1.14,light rain
51,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,94,40,27.11,light rain
52,Malaya Purga,RU,56.5567,53.0043,49.98,74,93,3.62,overcast clouds
53,Turbat,PK,26.0023,63.044,91.44,17,0,5.66,clear sky
54,Betioky,MG,-23.7167,44.3833,69.48,65,0,11.81,clear sky
55,Sembabule,UG,-0.0772,31.4567,66.2,89,65,4.12,light rain
56,Chuy,UY,-33.6971,-53.4616,61.56,44,100,9.75,overcast clouds
57,Ponta Do Sol,PT,32.6667,-17.1,74.03,64,51,7.63,broken clouds
58,Punta Arenas,CL,-53.15,-70.9167,44.71,76,0,14.97,clear sky
59,Araouane,ML,18.9048,-3.5265,97.05,6,5,7.0,clear sky
60,Dikson,RU,73.5069,80.5464,31.6,99,100,8.72,overcast clouds
61,Castro,BR,-24.7911,-50.0119,59.11,92,99,7.02,overcast clouds
62,Bathsheba,BB,13.2167,-59.5167,84.81,74,75,21.85,broken clouds
63,Dolzhanskaya,RU,46.6311,37.8039,61.25,69,71,7.78,broken clouds
64,Montepuez,MZ,-13.1256,38.9997,70.61,58,98,4.25,overcast clouds
65,Vagamo,NO,61.8751,9.0967,43.93,81,77,7.61,broken clouds
66,Ostrovnoy,RU,68.0531,39.5131,36.59,86,56,7.54,broken clouds
67,Kirkland Lake,CA,48.1446,-80.0377,77.29,23,82,7.56,broken clouds
68,Taoudenni,ML,22.6783,-3.9836,102.52,4,43,19.04,scattered clouds
69,Carballo,ES,43.213,-8.691,64.54,85,99,10.92,light rain
70,Jamestown,US,42.097,-79.2353,79.52,64,75,8.05,broken clouds
71,Chhabra,IN,24.6667,76.8333,97.52,17,1,14.14,clear sky
72,Patacamaya,BO,-17.2333,-67.9167,58.44,24,33,10.54,scattered clouds
73,Mitu,CO,1.1983,-70.1733,85.44,68,96,0.34,overcast clouds
74,Isiro,CD,2.7739,27.616,65.53,96,92,3.6,moderate rain
75,Omboue,GA,-1.5746,9.2618,78.46,90,80,6.02,light rain
76,Salalah,OM,17.0151,54.0924,86.09,58,2,5.75,clear sky
77,Atar,MR,20.5169,-13.0499,106.7,7,40,15.9,scattered clouds
78,Manta,EC,-0.95,-80.7333,82.18,78,100,4.61,overcast clouds
79,Saquarema,BR,-22.92,-42.5103,78.84,70,98,4.59,overcast clouds
80,Mitsamiouli,KM,-11.3847,43.2844,80.82,70,25,7.25,scattered clouds
81,Manoharpur,IN,27.3,75.95,93.52,17,61,13.96,broken clouds
82,Mirebalais,HT,18.8333,-72.1053,91.04,39,92,7.81,overcast clouds
83,Ancud,CL,-41.8697,-73.8203,54.0,62,77,9.71,broken clouds
84,Trapani,IT,37.8333,12.6667,73.49,38,0,9.22,clear sky
85,Ribeira Grande,PT,38.5167,-28.7,61.2,88,75,18.41,light rain
86,Chiredzi,ZW,-21.05,31.6667,66.51,63,53,5.41,broken clouds
87,Narsaq,GL,60.9167,-46.05,46.62,66,52,6.46,broken clouds
88,Bhabua,IN,25.05,83.6167,92.3,19,2,7.27,clear sky
89,East London,ZA,-33.0153,27.9116,65.34,88,0,5.75,clear sky
90,Thinadhoo,MV,0.5333,72.9333,84.36,69,85,14.34,overcast clouds
91,Fianarantsoa,MG,-21.4333,47.0833,57.79,98,100,4.52,light rain
92,Bengkulu,ID,-3.8004,102.2655,77.43,91,100,2.55,overcast clouds
93,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,20,7.0,few clouds
94,Kaura Namoda,NG,12.5898,6.5779,98.85,9,27,8.55,scattered clouds
95,North Myrtle Beach,US,33.816,-78.68,87.35,64,40,9.22,scattered clouds
96,Walvis Bay,NA,-22.9575,14.5053,76.15,38,0,3.44,clear sky
97,Vila Velha,BR,-20.3297,-40.2925,78.75,69,75,8.05,broken clouds
98,Harindanga,IN,22.0383,88.3214,85.96,76,58,17.87,broken clouds
99,Kargasok,RU,59.0556,80.8572,53.67,89,72,7.27,broken clouds
100,Andra,RU,62.5147,65.8878,48.78,79,70,7.09,broken clouds
101,Kostrzyn,PL,52.3985,17.2281,66.11,71,32,7.25,scattered clouds
102,Bethanien,NA,-26.502,17.1583,69.15,19,0,10.31,clear sky
103,Hithadhoo,MV,-0.6,73.0833,83.62,71,81,10.85,broken clouds
104,Santa Cruz,BO,-17.8,-63.1667,78.85,50,75,20.71,broken clouds
105,Padang,ID,-0.9492,100.3543,77.05,90,52,3.0,broken clouds
106,Chake Chake,TZ,-5.2459,39.7666,77.72,80,4,10.85,clear sky
107,Upernavik,GL,72.7868,-56.1549,22.14,70,9,4.97,clear sky
108,Molodizhne,UA,48.1773,32.6601,53.64,74,48,8.46,scattered clouds
109,Bayonet Point,US,28.3267,-82.6834,91.29,70,4,3.0,clear sky
110,Necochea,AR,-38.5473,-58.7368,54.14,78,100,25.55,overcast clouds
111,Dingle,PH,10.9995,122.6711,77.13,87,96,0.29,light rain
112,Natal,BR,-5.795,-35.2094,86.22,74,75,12.66,broken clouds
113,Monrovia,LR,6.3005,-10.7969,82.56,78,96,9.57,light rain
114,Marawi,PH,7.9986,124.2928,69.19,91,98,1.88,overcast clouds
115,Jales,BR,-20.2689,-50.5458,81.01,53,97,9.08,overcast clouds
116,Pori,FI,61.4833,21.7833,50.07,46,0,16.11,clear sky
117,Maldonado,UY,-34.6667,-54.9167,58.39,50,69,15.95,broken clouds
118,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,54,0,3.44,clear sky
119,Angoche,MZ,-16.2325,39.9086,73.74,72,0,6.38,clear sky
120,Ullapool,GB,57.8987,-5.1604,63.36,74,96,5.17,overcast clouds
121,Maniitsoq,GL,65.4167,-52.9,33.39,60,2,13.22,clear sky
122,Thompson,CA,55.7435,-97.8558,35.76,93,100,12.66,light intensity drizzle
123,Oranjemund,NA,-28.55,16.4333,66.33,42,0,8.43,clear sky
124,Nantucket,US,41.2835,-70.0995,68.11,88,100,10.36,overcast clouds
125,Ust-Charyshskaya Pristan,RU,52.3934,83.6635,55.72,89,83,6.38,broken clouds
126,Matay,EG,28.419,30.7792,81.25,23,13,19.24,few clouds
127,Raga,SS,8.4596,25.678,78.84,68,78,6.24,broken clouds
128,Kindu,CD,-2.95,25.95,79.48,65,86,2.01,overcast clouds
129,Quatre Cocos,MU,-20.2078,57.7625,73.51,80,30,7.99,scattered clouds
130,Chapais,CA,49.7834,-74.8492,64.18,76,100,5.97,overcast clouds
131,Polunochnoye,RU,60.8697,60.4153,45.39,87,65,4.52,broken clouds
132,Carnarvon,AU,-24.8667,113.6333,68.0,39,0,12.71,clear sky
133,Cayenne,GF,4.9333,-52.3333,86.09,1,75,17.27,broken clouds
134,Desbiens,CA,48.4178,-71.9495,61.45,95,100,6.96,overcast clouds
135,Kangaatsiaq,GL,68.3065,-53.4641,24.58,68,7,10.76,clear sky
136,Itaitinga,BR,-3.9694,-38.5281,85.48,81,96,6.49,overcast clouds
137,Tazovskiy,RU,67.4667,78.7,40.66,100,100,5.37,overcast clouds
138,Puntarenas,CR,9.9763,-84.8384,86.38,65,99,6.67,overcast clouds
139,Codrington,AU,-38.2667,141.9667,48.24,87,34,13.4,scattered clouds
140,Ambovombe,MG,-25.1667,46.0833,70.7,77,0,14.88,clear sky
141,Klaksvik,FO,62.2266,-6.589,50.92,88,94,10.38,overcast clouds
142,Jacmel,HT,18.2342,-72.5347,84.69,61,94,9.42,overcast clouds
143,Sumbe,AO,-11.2061,13.8437,76.3,88,4,6.62,clear sky
144,Saint George,US,37.1041,-113.5841,86.79,12,0,0.0,clear sky
145,Carauari,BR,-4.8828,-66.8958,75.43,97,100,2.08,moderate rain
146,Henties Bay,NA,-22.116,14.2845,63.3,64,1,5.1,clear sky
147,Prieska,ZA,-29.6641,22.7474,62.28,20,0,5.75,clear sky
148,Mian Channun,PK,30.44,72.3543,99.72,8,0,14.61,clear sky
149,Verkhnyaya Inta,RU,65.9811,60.3094,46.54,86,90,4.65,overcast clouds
150,Saint Anthony,US,45.0205,-93.218,73.81,33,0,14.97,clear sky
151,Bilma,NE,18.6853,12.9164,89.29,10,0,10.27,clear sky
152,Taltal,CL,-25.4,-70.4833,63.28,72,12,4.34,few clouds
153,Semnan,IR,35.5729,53.3971,76.84,12,0,2.3,clear sky
154,Kruisfontein,ZA,-34.0033,24.7314,63.88,87,1,3.89,clear sky
155,Eyl,SO,7.9803,49.8164,83.26,75,59,21.5,broken clouds
156,Bartica,GY,6.4,-58.6167,88.12,90,100,4.47,overcast clouds
157,Bambous Virieux,MU,-20.3428,57.7575,73.65,94,40,5.75,scattered clouds
158,Macau,MO,22.2006,113.5461,69.6,94,75,19.57,broken clouds
159,Saint-Augustin,CA,51.226,-58.6502,46.17,54,80,10.11,broken clouds
160,Turukhansk,RU,65.8167,87.9833,58.39,58,74,7.34,broken clouds
161,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.17,72,93,7.36,overcast clouds
162,Pytalovo,RU,57.0679,27.9138,49.21,55,89,11.48,overcast clouds
163,Kavaratti,IN,10.5669,72.642,80.49,83,100,17.81,overcast clouds
164,Balkhash,KZ,46.844,74.9804,65.98,47,22,6.44,few clouds
165,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.96,61,0,17.27,clear sky
166,Beloha,MG,-25.1667,45.05,68.67,76,0,11.16,clear sky
167,Mahebourg,MU,-20.4081,57.7,73.69,94,40,5.75,scattered clouds
168,Jos,NG,9.9167,8.9,80.69,33,90,2.98,overcast clouds
169,Giyon,ET,8.5333,37.9833,70.36,24,18,14.29,few clouds
170,Lokosovo,RU,61.1333,74.8167,52.86,67,86,6.2,overcast clouds
171,Rio Grande,BR,-32.035,-52.0986,60.91,72,100,18.48,overcast clouds
172,Rzhaksa,RU,52.1338,42.0264,47.64,91,95,8.21,light rain
173,Marfino,RU,55.7028,37.3822,51.94,76,0,6.71,clear sky
174,Tabou,CI,4.423,-7.3528,81.1,84,100,7.63,light rain
175,Tessalit,ML,20.1986,1.0114,101.01,6,1,11.5,clear sky
176,Olafsvik,IS,64.8945,-23.7142,46.78,94,100,14.43,overcast clouds
177,Namibe,AO,-15.1961,12.1522,68.63,83,40,13.8,scattered clouds
178,Lebu,CL,-37.6167,-73.65,58.41,44,100,3.74,overcast clouds
179,Jinka,ET,5.65,36.65,65.52,71,75,4.63,broken clouds
180,Cururupu,BR,-1.8283,-44.8683,85.96,66,95,8.14,overcast clouds
181,Ovruch,UA,51.3246,28.8035,50.85,74,79,7.58,broken clouds
182,Plettenberg Bay,ZA,-34.0527,23.3716,61.16,81,0,3.65,clear sky
183,Caconda,AO,-13.7333,15.0667,66.07,45,67,4.68,broken clouds
184,Kasempa,ZM,-13.4584,25.8338,59.68,50,15,5.48,few clouds
185,Lagunas,PE,-5.2269,-75.6753,77.2,93,100,2.62,overcast clouds
186,Osorno,CL,-40.5667,-73.15,60.26,62,0,0.0,clear sky
187,Zetaquira,CO,5.2822,-73.169,76.08,62,99,6.29,overcast clouds
188,Buchanan,LR,5.8808,-10.0467,82.22,79,93,8.25,light rain
189,Antofagasta,CL,-23.65,-70.4,63.68,66,21,7.16,few clouds
190,Ilulissat,GL,69.2167,-51.1,26.62,43,4,5.75,clear sky
191,Manjacaze,MZ,-24.7117,33.8828,66.02,83,2,4.9,clear sky
192,Ylivieska,FI,64.0833,24.55,44.31,59,93,4.92,overcast clouds
193,Ormara,PK,25.2088,64.6357,83.48,77,0,21.68,clear sky
194,Coquimbo,CL,-29.9533,-71.3436,56.93,76,100,6.91,overcast clouds
195,Korla,CN,41.7597,86.1469,73.67,21,95,5.57,overcast clouds
196,Hambantota,LK,6.1241,81.1185,80.1,83,87,15.08,overcast clouds
197,Senanga,ZM,-16.1167,23.2667,66.88,42,22,5.82,few clouds
198,Shieli,KZ,44.1667,66.75,73.22,30,90,1.3,overcast clouds
199,Tiznit,MA,29.5833,-9.5,71.58,46,0,8.03,clear sky
200,Rawson,AR,-43.3002,-65.1023,53.71,62,14,20.0,few clouds
201,Kisangani,CD,0.5167,25.2,76.95,77,83,3.22,broken clouds
202,Kerman,IR,30.2832,57.0788,67.86,12,0,9.22,clear sky
203,Balkanabat,TM,39.5108,54.3671,76.12,29,22,7.74,few clouds
204,Port Shepstone,ZA,-30.7414,30.455,67.24,83,5,8.9,clear sky
205,Cartagena Del Chaira,CO,1.3349,-74.8429,84.47,78,90,2.93,light rain
206,Sol-Iletsk,RU,51.1631,54.9918,50.34,93,71,7.47,broken clouds
207,Riohacha,CO,11.5444,-72.9072,88.25,64,92,9.86,overcast clouds
208,Nandigama,IN,16.7833,80.3,87.69,68,10,10.89,clear sky
209,Marsh Harbour,BS,26.5412,-77.0636,79.81,69,9,4.21,light rain
210,Qostanay,KZ,53.1667,63.5833,59.29,77,75,8.95,broken clouds
211,Copiapo,CL,-27.3667,-70.3333,58.69,29,0,7.72,clear sky
212,New Waterford,US,40.8451,-80.6145,82.63,50,79,3.0,broken clouds
213,Faya,SA,18.3851,42.4509,75.31,12,1,12.59,clear sky
214,Takoradi,GH,4.8845,-1.7554,82.02,77,31,8.77,scattered clouds
215,Puerto Narino,CO,-3.7703,-70.3831,74.14,99,100,2.39,heavy intensity rain
216,Bhainsdehi,IN,21.6467,77.6325,90.37,18,31,8.05,scattered clouds
217,Kismayo,SO,-0.3582,42.5454,80.11,80,57,11.39,broken clouds
218,Huarmey,PE,-10.0681,-78.1522,69.35,71,56,9.66,broken clouds
219,Berlevag,NO,70.8578,29.0864,39.15,87,100,13.8,overcast clouds
220,Vardo,NO,70.3705,31.1107,39.18,87,75,8.05,broken clouds
221,Nanortalik,GL,60.1432,-45.2371,31.62,71,54,9.46,broken clouds
